Date,ESC,batteryTemperature,batteryVoltage,batteryCurrent,LRDCode_BTY model_Type,AH,Strings,Float Load,Discharge Load,Manufacture year,Installation year,Capacity,Reserve Stated in NP,C
15:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,20,54.85,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,19,54.92,-3,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,19,48.93,-120,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,21,49.01,-118,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,23,48.62,-121,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,24,48.24,-121,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,25,47.86,-122,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,26,47.47,-125,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,27,46.93,-127,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,28,46.47,-127,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,28,45.78,-129,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,29,44.86,-137,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,30,43.17,-141,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,31,37.1,-124,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
15:00.0,PowerManager=CALW0PA,31,34.57,-81,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
30:00.0,PowerManager=CALW0PA,32,34.95,-52,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
45:00.0,PowerManager=CALW0PA,32,35.1,-44,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
00:00.0,PowerManager=CALW0PA,32,34.1,-41,CALWMG02_PWL12V100FT_VR,390,4,129,145.1,6,5,13%,0.133333333,0.372051282
